127.0.0.1 - - [15/May/2022:19:21:19 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/May/2022:19:21:29 +0900] "GET /stduy/blog/dbgb_write.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2022:19:21:29 +0900] "GET /stduy/blog/image/cancle.gif HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [15/May/2022:19:21:29 +0900] "GET /stduy/blog/filegb.css HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [15/May/2022:19:21:29 +0900] "GET /stduy/blog/image/ok.gif HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [15/May/2022:19:21:29 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/May/2022:19:40:36 +0900] "GET /stduy/freeboard/freeboard_write.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2022:19:40:36 +0900] "GET /stduy/freeboard/filegb.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2022:19:45:54 +0900] "GET /stduy/blog/dbgb_write.htm HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [15/May/2022:19:46:29 +0900] "GET /stduy/blog/dbgb_write.htm HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [15/May/2022:19:46:47 +0900] "POST /stduy/blog/dbgb_save.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [15/May/2022:19:52:23 +0900] "POST /stduy/blog/dbgb_save.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [15/May/2022:19:52:46 +0900] "POST /stduy/blog/dbgb_save.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [15/May/2022:19:54:13 +0900] "GET /stduy/blog/db_connection_oracle.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [15/May/2022:19:54:50 +0900] "GET /stduy/freeboard/freeboard_read.jsp HTTP/1.1" 500 2676
0:0:0:0:0:0:0:1 - - [15/May/2022:20:58:38 +0900] "GET /stduy/freeboard/freeboard_list.jsp HTTP/1.1" 200 4908
0:0:0:0:0:0:0:1 - - [15/May/2022:20:58:38 +0900] "GET /stduy/freeboard/freeboard.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [15/May/2022:20:59:04 +0900] "GET /stduy/freeboard/freeboard_read.jsp HTTP/1.1" 500 2676
0:0:0:0:0:0:0:1 - - [15/May/2022:20:59:12 +0900] "GET /stduy/freeboard/freeboard_read.jsp?id=43&page=1 HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [15/May/2022:20:59:15 +0900] "GET /stduy/freeboard/freeboard_read.jsp?id=43&page=1 HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [15/May/2022:20:59:54 +0900] "GET /stduy/freeboard/freeboard_list.jsp?go=2 HTTP/1.1" 200 4867
0:0:0:0:0:0:0:1 - - [15/May/2022:20:59:54 +0900] "GET /stduy/freeboard/freeboard.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [15/May/2022:20:59:55 +0900] "GET /stduy/freeboard/freeboard_read.jsp?id=39&page=2 HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [15/May/2022:21:00:16 +0900] "GET /stduy/freeboard/freeboard_read.jsp?id=39&page=2 HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [15/May/2022:22:40:29 +0900] "GET /stduy/blog/dbgb_write.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2022:22:40:42 +0900] "POST /stduy/blog/dbgb_save.jsp HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [15/May/2022:22:40:47 +0900] "GET /stduy/blog/dbgb_show.jsp?go=2 HTTP/1.1" 200 2801
